epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
115,29207.4,1.11443,1.089,0.01985,0.7363,0.53272,0.60569,0.44478,1.11545,0.78716,0.02459,0.0206166,0.00687222,0.0206166,0.00687222,0.0206166,0.00687222,0.0206166,0.00687222
116,29459.8,1.10993,1.08282,0.01964,0.73722,0.53417,0.606,0.44516,1.11607,0.78788,0.02462,0.0204718,0.00682392,0.0204718,0.00682392,0.0204718,0.00682392,0.0204718,0.00682392
117,29710.9,1.1029,1.08679,0.01938,0.73848,0.53318,0.60634,0.44553,1.11466,0.78852,0.02455,0.0203263,0.00677543,0.0203263,0.00677543,0.0203263,0.00677543,0.0203263,0.00677543
118,29959.7,1.09988,1.07631,0.01944,0.73776,0.53426,0.60641,0.44564,1.11476,0.78809,0.02454,0.0201803,0.00672675,0.0201803,0.00672675,0.0201803,0.00672675,0.0201803,0.00672675
119,30215.4,1.10195,1.05538,0.01942,0.74302,0.53336,0.60662,0.44637,1.11438,0.78726,0.02453,0.0200337,0.00667789,0.0200337,0.00667789,0.0200337,0.00667789,0.0200337,0.00667789
120,30465.6,1.0931,1.05234,0.01929,0.75423,0.53804,0.60925,0.44637,1.11358,0.78727,0.02451,0.0198865,0.00662885,0.0198865,0.00662885,0.0198865,0.00662885,0.0198865,0.00662885
121,30723.7,1.10252,1.07534,0.01954,0.75621,0.53444,0.60897,0.4467,1.11347,0.78751,0.02452,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963
122,30992.9,1.09587,1.05865,0.01937,0.75239,0.53619,0.60839,0.44608,1.1135,0.7891,0.02454,0.0195908,0.00653025,0.0195908,0.00653025,0.0195908,0.00653025,0.0195908,0.00653025
123,31255.6,1.09798,1.06187,0.01948,0.73853,0.54066,0.60753,0.44662,1.11396,0.78811,0.02458,0.0194421,0.00648071,0.0194421,0.00648071,0.0194421,0.00648071,0.0194421,0.00648071
124,31518.8,1.09668,1.05596,0.01943,0.74254,0.5395,0.60721,0.4455,1.11339,0.79012,0.02455,0.019293,0.00643101,0.019293,0.00643101,0.019293,0.00643101,0.019293,0.00643101
125,31786,1.09691,1.05729,0.01933,0.73634,0.54071,0.60693,0.44592,1.11298,0.79167,0.02453,0.0191435,0.00638115,0.0191435,0.00638115,0.0191435,0.00638115,0.0191435,0.00638115
126,32053.6,1.0975,1.05425,0.01937,0.71968,0.53667,0.59274,0.43631,1.1115,0.79296,0.0245,0.0189935,0.00633115,0.0189935,0.00633115,0.0189935,0.00633115,0.0189935,0.00633115
127,32313,1.09263,1.04182,0.01925,0.7292,0.52947,0.5991,0.44126,1.10991,0.79627,0.02443,0.018843,0.00628101,0.018843,0.00628101,0.018843,0.00628101,0.018843,0.00628101
